"Veljo Tormis, 17 Eesti pulmalaulu, 2. osa ""Millal saame sinna maale""",,,,
,,,,
Teema,S,A,T,B
Noodikõrgused,õige,"Ettepanek: takt 8 ja 15, fis-i diees puudu. See on hea meeldetuletus võtmemärgist ja lihtsustab oluliselt noodi lugemist ja harmoonia tajumist. ",õige,õige
Pausid,õige,õige,õige,õige
Rütmid,õige,õige,"Ettepanek: Takt 5 ja 13, rütmi-punktid on halvasti loetavad. Parem asukoht oleks rütmi kohal (nagu naishäältes), hetkel jäävad liiga joone peale ja märkamatuks, ebaloogiline koht, kus neid lugeda. ",õige
Sõnad,"Vead: takt 15 S ja A tekst sõna ""mil-lal"" on kirjas suure algustähega, võiks olla väikese algustähega. (Sama loogika, nagu taktis 7) 
Taktid 13-16 naishäälte tekst visuaalselt madalamal, kui T oma. Võiks olla ühel kõrgusel, nagu taktides 5-8. ","Sopraniga sama tekst, samad ettepanekud.","Vead: takt 13 sõnas ""mei-e"" silbituskriips puudu. Igas salmis on samas kohas silbituskriips sõnades puudu.
Takt 13 ""kus aga"" sõnade vahe liiga väike, teksti halb lugeda.
","vead: takt 3 vale tekst, õige on 2x järjest “tim-pa, tim-pa”. Sama on takt 7, takt 11, takt 15. "
Strihhid,,Takt 6 ja 14. Legato on kirjas S+A rea kohal ja ei ole vajadust seda aldi hääles dubleerida (nagu fermaat loo viimases taktis),olemas,olemas
Pidekaared,olemas,olemas,olemas,olemas
legatokaared,-,-,olemas,-
Fermaadid,olemas,on loetav ja arusaadav,olemas,olemas
Jagunemised,-,-,-,-
Häälerühmade paigutus süsteemides,paigutus on hea ja noot seega hästi loetav. ,paigutus on hea ja noot seega hästi loetav. ,Ettepanek on kirjas B lahtris,"ettepanek: A-osas on väga hea, et T ja B on noteeritud eraldi reale (erinevad rollid, erinevad rütmid, erinev tekst, erinevad dünaamikad). B-osas on neil sarnane roll, rütm ja sõnad on samad – siin noteeriksin T+B ühele reale. Annab paremini ülevaate ka tekkivatest harmooniatest (kus on T+B unisonis, millised intervallid häälte vahel tekivad). "
Häälerühmade tähised süsteemi ees,"Ettepanek: Häälerühma tähis süsteemi ees on arusaamatu (""W""). Võiks kasutada üldtuntud tähiseid, nagu S ja A.",Ettepanek on kirjas S lahtris,,
kordusmärgid,õige,õige,õige,õige
kordusmärgid sõnadega,-,-,-,-
vormiosade tähised,olemas,olemas,olemas,olemas
Dünaamika tähised,olemas,Takt 6 ja 14. Forte on kirjas S+A rea kohal ja ei ole vajadust seda aldi hääles dubleerida. (nagu forte tähis taktides 21 ja 25),olemas,olemas
Dünaamika sõnadega,-,-,olemas,olemas
,Kogu noodi kohta,,,
Pealkiri,Õige,,,
Helilooja,"Puudu. Originaalnoodis ka ei ole, aga kuna tegemist on eraldi noodiga, mitte terve kogumikuga, siis võiks olla kirjas ka helilooja nimi",,,
Sõnade autor,olemas (Tõstamaa),,,
Tempo tähis loo alguses,"olemas, õige",,,
"Tempo, dünaamika jm tähised loo sees","olemas, õige",,,
Täpsustavad tekstid loo sees,-,,,
Täpsustavad tekstid noodi all,-,,,
